product_id,brand,review_count,sampled_reviews,first_review_date,last_review_date,review_span_months,matched_terms
B0BTTN3SVN,Alba Botanica,763,500,2011-07-14,2023-08-03,144.6,sunscreen; spf; broad spectrum; sun protection
B01KJGUUHM,Eucerin,750,500,2016-11-16,2023-08-10,80.7,sunscreen; spf; broad spectrum; uva; uvb
B008KYYLPI,Hawaiian Tropic,744,500,2012-07-05,2022-11-17,124.4,sunscreen; spf; broad spectrum; sun protection; uva; uvb
B00E9OXJUQ,MISSHA,741,500,2015-03-26,2023-08-20,100.8,spf; sun protection
B0BHFCMMW1,Gloves In A Bottle,738,500,2017-01-20,2023-07-19,77.9,spf; sun protection
B001F51TBI,Olay,737,500,2009-05-05,2023-08-07,171.1,sunscreen; spf; broad spectrum; sun protection; uva; uvb; zinc oxide
B0BX593B3J,Sun Bum,729,500,2012-08-04,2023-08-18,132.4,sunscreen; spf; broad spectrum; sun protection; uva; uvb
B00FLRHYCE,Hawaiian Tropic,724,500,2014-05-15,2023-08-17,111.1,sunscreen; sunblock; spf; broad spectrum; sun protection; uva; uvb
B001SZ1MRQ,COVERGIRL,717,500,2011-08-26,2023-05-13,140.5,spf; broad spectrum; sun protection; uva; uvb
B07ZQBGRJX,Physicians Formula,715,500,2010-01-12,2023-01-02,155.7,spf
B09642QYTS,A'PIEU,715,500,2016-04-02,2023-08-31,88.9,sunscreen; spf; sun protection; reef safe
B0C5JVD54M,Brush On Block,714,500,2014-07-02,2023-08-10,109.3,sunscreen; sunblock; spf; sun protection; uva; uvb; zinc oxide; titanium dioxide
B005JFPGX2,MISSHA,710,500,2012-04-17,2023-07-02,134.5,spf; zinc oxide
B007SNM6OK,THINK,701,500,2013-06-28,2023-07-09,120.3,sunscreen; sunblock; spf; broad spectrum; sun protection; uva; uvb; zinc oxide
B0CDYV161L,Coppertone,692,500,2019-04-11,2023-08-25,52.5,sunscreen; spf; broad spectrum; sun protection; uva; uvb; zinc oxide
B0BYDKJG5X,Yoseng,691,500,2016-05-19,2023-08-08,86.6,sunscreen
B07PDHPJ5N,Beauty by Earth,688,500,2017-10-10,2023-07-11,69.0,sunscreen; sunblock; spf; broad spectrum; sun protection; zinc oxide; reef safe
